1;1.4276713912462055e-15,0.9999999999989865,1.0062971348306385e-12,6.121262513025504e-16,5.233217191412324e-15
2;2.1234650365681423e-13,0.9999999999864245,1.2484101605596422e-11,7.467076386650873e-14,8.043873158560334e-13
3;0.0004437743368564038,0.9984536315308532,0.00012050328422439438,0.0002057504528165618,0.0007763403952493928
4;0.06851670911182667,0.5676491102654223,6.994940297005963e-05,0.06621153295423424,0.2975526982655468
5;2.121930071948531e-07,0.9999986983118669,3.8414511969660126e-07,8.529319189715558e-08,6.200568142273599e-07
6;5.67793330343775e-13,0.9999999999775301,2.0076973194396747e-11,2.244188937038335e-13,1.6008517280808416e-12
7;1.5884480833014677e-07,0.9999707966380673,2.8603014793835265e-05,5.3294906335814535e-08,3.882074240615047e-07
8;4.4082585370384954e-12,0.9999999948063878,5.172211635674261e-09,2.1474886215775283e-12,1.4844743932333995e-11
9;0.0009223662418227015,0.9714459372748019,0.02497597628244935,0.00047522281436011897,0.0021804973865660704
10;4.122106722047166e-11,0.9999999987928716,1.083426325337338e-09,1.417560059360698e-11,6.830544894870988e-11
11;1.4196072612925813e-05,0.993893456090729,0.006050756403452209,6.645859341031028e-06,3.494557386469022e-05
12;0.0125012375615769,0.698268350331474,0.25969353042488785,0.004026624789756901,0.025510256892304302
13;2.94942981421825e-10,0.9999999295270141,6.93412499234433e-08,9.764680620789447e-11,7.391462093056874e-10
14;0.041526657255777304,0.8342265221582236,0.050984365801592865,0.011941490054592128,0.06132096472981419
15;3.150697776752705e-08,0.9999939639899162,5.892191133922338e-06,1.167510206351382e-08,1.0063687008047515e-07
16;1.9078530285357262e-10,0.9999988917482547,1.1073981501899059e-06,8.561272426205721e-11,5.771970268579367e-10
17;1.662017440413565e-18,1.0,3.5113311628543694e-17,8.003499348873143e-19,4.1068074610317694e-18
18;1.8588752987277695e-11,0.999999999801736,1.3386828740197348e-10,5.62152085796022e-12,4.018537738223488e-11
19;0.02509053464300259,0.8564777170522889,0.030328612708369448,0.01894878053974533,0.0691543550565936
20;0.016382043366461367,0.6876051159774169,0.26552754711674265,0.009840874205605267,0.02064441933377367
21;2.8287390538983573e-14,0.9999999992631468,7.367276746235711e-10,9.61972678019693e-15,8.775935924818843e-14
22;1.111078845815979e-16,0.9999999999996423,3.57048491292225e-13,3.8655090369882974e-17,4.446979409650339e-16
23;6.643090291727257e-16,0.9999999999999828,1.4103391891169142e-14,2.3556852036209985e-16,2.308488532237624e-15
24;3.104878401485597e-08,0.9999998362615962,2.897331492810086e-08,1.5932743955363242e-08,8.778356096313853e-08
25;0.00014794150754883167,0.9904762062985416,0.008848180705319142,4.470835502568891e-05,0.00048296313356465634
26;1.4080277269727844e-21,1.0,5.437635173657443e-19,3.9926090986672683e-22,4.9829812595654156e-21
27;0.044531526924092,0.8437977420105656,0.0007209203517455909,0.04728029567413975,0.06366951503945706
28;2.4060347892857516e-07,0.9999067277582314,9.24033568150876e-05,1.077396198187004e-07,5.205418546795611e-07
29;3.393113190893695e-16,0.999999999999996,2.796383654929301e-15,1.1090300120504848e-16,5.590142880066682e-16
30;5.7624678269648455e-11,0.9999999985361032,1.1866902769722218e-09,3.70498205685175e-11,1.8253198171268068e-10
31;0.002210000474713388,0.9545094427319604,0.03652750185379491,0.0009748593865300484,0.005778195553001302
32;1.6157303604652076e-07,0.9999983460000208,1.176768104277274e-06,7.566962706218202e-08,2.3998921173336495e-07
33;0.0035632650067358,2.670971457938678e-06,0.9890688675582298,0.002146086815211815,0.005219109648364738
34;0.09418279521391452,0.5837431414400125,0.00014318223167954743,0.04631637596558108,0.27561450514881225
35;1.0662798370097366e-08,0.9999999448807784,8.380717484606905e-09,2.428304051458243e-09,3.3647401655789844e-08
36;0.27938746327465586,1.7006492752315465e-05,3.311055188970117e-10,0.6474070981852177,0.07318843171626851
37;2.787861440558983e-10,0.9999996161096345,3.8279719813380194e-07,1.0808199523541135e-10,7.062991452485764e-10
38;0.0060087730397768765,0.7932073356226859,0.18476331884921182,0.002987320666647802,0.013033251821677591
39;0.23556009438520695,0.3553307562021602,0.006553506406319573,0.17652833960453695,0.22602730340177635
40;0.09675590258533147,0.612371447240746,0.018842494461468778,0.065109474046552,0.20692068166590163
41;4.681280079470924e-06,0.9999694252637966,9.200979503860123e-06,2.8088246808038528e-06,1.3883651939376872e-05
42;0.00010769789770779026,0.9826433811478851,0.016941479113507497,5.589270637494957e-05,0.00025154913452447153
43;5.854210053143886e-10,0.9999999530880205,4.446589780038479e-08,2.394294462007525e-10,1.6212312909752668e-09
44;3.678313438325664e-15,0.9999999999996256,3.589096171170063e-13,1.6665809057696506e-15,1.012000099864481e-14
45;3.6576186082233424e-06,0.9999705317630561,1.642345270573098e-05,1.7608904900321228e-06,7.6262751399055696e-06
46;0.028508477475969053,0.8926917902076527,0.004461451030367275,0.04221544550087596,0.03212283578513515
47;4.92339689236005e-07,0.9985801286120308,0.0014172104921512587,3.3886536271231095e-07,1.8296907661119725e-06
48;2.264863453781792e-13,0.9999999999880159,1.1088209421813258e-11,7.482055802837425e-14,5.944561085386059e-13
49;2.2388755961330434e-09,0.9999999725957633,1.916833212776338e-08,1.0192816071426234e-09,4.977747297109034e-09
50;0.3656255765252416,2.2420127730840726e-19,0.0008658498007059006,0.3974477497896496,0.23606082388440297
51;0.011001294547788223,0.664325866047279,0.2982724075183217,0.003644584942953097,0.022755846943658002
52;2.1565350843363593e-14,0.9999999999998794,2.998059430622578e-14,1.1856029992729e-14,5.733077815313415e-14
53;0.00010790107069206782,0.9446244804157294,0.05507261296707519,4.0785590167722184e-05,0.0001542199563356379
54;1.1497281712133403e-10,0.999999847627013,1.5178072746590186e-07,3.421944567040377e-11,4.430671162029266e-10
55;4.055358837551661e-08,0.9999986742252681,1.091195540547201e-06,4.032317070231351e-08,1.5370243221971737e-07
56;2.8673101424686635e-14,0.9999999999963164,3.554440099122944e-12,9.460609488004563e-15,9.11975940104998e-14
57;1.6196413447610788e-06,0.9997472201640794,0.0002464550045833412,7.480122743137138e-07,3.957177718186179e-06
58;5.347863646167753e-06,0.9999157467887608,6.894852968242038e-05,1.6483740023784326e-06,8.308443908206975e-06
59;8.704123283985834e-08,0.9999963655049658,3.27289077044445e-06,4.099665446179532e-08,2.335663762693727e-07
60;2.2674117669164855e-11,0.9999999997462135,1.8465855449760928e-10,6.152887789773984e-12,4.0300936522096566e-11
61;1.6768202563083948e-10,0.9999993125152724,6.868631412271916e-07,5.3763475317441294e-11,4.0014090278867044e-10
62;2.162233104125351e-13,0.9999999999516638,4.7400732967755694e-11,8.726898878104473e-14,6.3225229379751e-13
63;2.0533264563760798e-07,0.9966466313773732,0.003352414578001121,1.1041986495906765e-07,6.382921148513523e-07
64;2.562114765730309e-11,0.9999999984454204,1.4534345529135109e-09,1.1836876430706251e-11,6.368716207684329e-11
65;0.0011133271094025516,0.9154550417418261,0.08120593061202788,0.0004984691138263397,0.001727231422917185
66;5.808144966171295e-06,0.9969076969493258,0.0030763180219305756,1.3677758065193627e-06,8.809107970868203e-06
67;4.607104574434353e-25,1.0,5.32665654320059e-23,1.4827324134301448e-25,2.391997431230536e-24
68;1.8801553669346896e-19,1.0,2.6917636572932053e-17,6.686342600920664e-20,6.496535307074121e-19
69;9.929134832466469e-17,0.9999999999999967,2.9164450597119877e-15,2.949511389108745e-17,2.2400832041623025e-16
70;5.562102407905638e-22,1.0,2.072429552371243e-19,1.7303504955597162e-22,2.2723496077287213e-21
71;0.09563101568802046,0.7404199326882136,0.034917180083004845,0.027877196561671935,0.10115467497908909
72;0.0009826013828362749,0.9808926494742373,0.01581978954403303,0.0004577522940351127,0.0018472073048581873
73;1.3475204323283739e-11,0.9999999997544374,1.974713703970977e-10,4.0923502267453924e-12,3.052360710483392e-11
74;1.052523347200145e-20,1.0,3.536992602131326e-17,3.8918857435552394e-21,2.178599272632273e-20
75;4.857781371266669e-09,0.9999999789096561,4.97163418415854e-09,2.523267534922814e-09,8.737661022792852e-09
76;3.81320772078935e-09,0.9999994016883977,5.862656574766031e-07,1.4901524473338325e-09,6.742584515430047e-09
77;4.124934923385086e-09,0.9999999826911665,3.186968559363865e-09,2.2698600228554092e-09,7.727070035692846e-09
78;0.06667056605085535,0.7923638850696887,0.052525717569465585,0.02241509507485342,0.06602473623513694
79;2.0267008288522945e-05,0.9999155753066211,1.2466225372476273e-05,9.428074814535193e-06,4.2263384903180466e-05
80;3.158505895373203e-14,0.9999999999949651,4.9267730040080254e-12,8.521874882692868e-15,6.783898428111135e-14
81;2.2622790727751405e-08,0.9999992833716165,6.200048592449791e-07,1.316794451342188e-08,6.0832789154715e-08
82;9.505339490270613e-17,0.9999999999999909,8.947490635465053e-15,2.557284837248445e-17,2.758989919943163e-16
83;2.77819095067298e-05,0.9359084168947939,0.06397943191259664,1.2967346571856122e-05,7.140193653081784e-05
84;6.08283518909506e-14,0.9999999999964269,3.266481911799519e-12,2.189694248372925e-14,2.237955722555204e-13
85;3.250423622312338e-11,0.9999999992405784,6.466294029195336e-10,1.1969247241662582e-11,6.83187940141363e-11
86;8.467452556204517e-06,0.9999713100527176,1.5876207885074007e-12,7.74874229608963e-06,1.2473750842540338e-05
87;2.804403406051557e-08,0.999590643090077,0.00040924167450377376,8.820757695932476e-09,7.837062753325719e-08
88;0.0021353520992209974,0.9903035180612616,0.00012845271379021515,0.00062760717685209,0.006805069948875264
89;0.040380488775422704,0.8807187610036749,0.004315697252155358,0.02036784142173004,0.05421721154701699
90;1.8386643888690751e-07,0.9999817878065301,1.7653833665223285e-05,6.8050321605608e-08,3.064430442225848e-07
91;3.1154003365601263e-07,0.9997403461094193,0.0002576018959368339,2.0155913313327795e-07,1.5388954769348932e-06
92;1.4575622003765998e-19,1.0,2.905291157495061e-17,4.664985476443981e-20,6.315797618640297e-19
93;0.00010847683099561173,0.9521047546120179,0.04729854473933382,7.230853250083588e-05,0.0004159152851518613
94;2.453402394141272e-21,1.0,2.5559366579139173e-20,8.074385474761633e-22,7.693110475796652e-21
95;2.8419408384193925e-09,0.999998945974872,1.0436596078930952e-06,9.696375259582213e-10,6.553941671750435e-09
96;4.721981354296919e-09,0.9999993983664437,5.736140077200449e-07,3.5934929456365746e-09,1.970407435727046e-08
97;0.02830950119193946,0.6067248176898683,0.27460335666498203,0.018755637215854513,0.07160668723735585
98;3.251339233596868e-05,0.9996500686968766,0.00019347678251127785,1.7410637971384208e-05,0.00010653049030467601
99;2.3377610938796726e-06,0.9997321782933067,0.0002588112273626026,1.0041275314442945e-06,5.668590705454352e-06
100;7.933669422669631e-09,0.9999813027224127,1.8661158122941196e-05,2.8115311007479008e-09,2.5374263538388244e-08
101;1.0599705089086264e-09,0.999999885297593,1.107374997989231e-07,4.4361666213931894e-10,2.461320200823828e-09
102;1.9360805247168124e-11,0.9999999970897565,2.812825768816494e-09,7.934320548483663e-12,7.01226388002579e-11
103;2.6520024044355652e-05,0.984737851511702,0.015173115024708077,1.0156256514039872e-05,5.235718303155616e-05
104;2.412280467876174e-07,0.9999738202219451,2.525857759979231e-05,1.0507451979527977e-07,5.748978885518793e-07
105;4.811371980376914e-22,1.0,1.0877450882404474e-18,1.6152999844336292e-22,1.2425963805788712e-21
106;4.622572937575758e-09,0.999999969113532,1.7444764246084207e-08,3.3259461464860545e-09,5.4931847658994355e-09
107;0.016404643456296074,0.880779897014782,0.03590152629931511,0.00815546933551171,0.058758463894095
108;3.184013898539381e-09,0.9999998590662572,1.3003651103006195e-07,1.009819050206513e-09,6.703398800775043e-09
109;0.0005905799779194175,0.9219058155746076,0.07552067616327854,0.0002915339121085975,0.0016913943720859822
110;3.6011593866090136e-09,0.9999922426754654,7.744493817412347e-06,1.1758062799489144e-09,8.05375148077127e-09
111;5.04638207970037e-06,0.9427795371351806,0.05720488281501233,1.1230109069708353e-06,9.410656820307639e-06
112;3.261765287457663e-12,0.9999999996188473,3.7277420471428087e-10,6.492185794657145e-13,4.467480966491665e-12
113;0.04066518014994406,0.7275813176395952,0.03285278454170148,0.026317899938795315,0.17258281772996392
114;7.685919409223582e-07,0.9999716692961063,2.4310706825409904e-05,2.508422967607266e-07,3.000562830735159e-06
115;7.063656359410425e-10,0.9999999942988125,2.5709964433495055e-09,4.4370957499403404e-10,1.9801159700481382e-09
116;1.0287357406655383e-10,0.9999990511814614,9.484820187778917e-07,3.8485147467450367e-11,1.951611707252101e-10
117;1.9536822467404387e-19,0.9999999999999999,1.3150636823938839e-16,7.264254130006322e-20,1.2372126953331252e-18
118;9.86916113515472e-14,0.9999999999992821,9.92501009118621e-14,5.305654274704836e-14,4.668843639569042e-13
119;2.6337029251344703e-07,0.9999988130025881,2.2121669795682888e-07,8.679684666457605e-08,6.156135746881213e-07
120;6.729163872183754e-13,0.9999999999532861,4.3055488565747224e-11,4.184936221689103e-13,2.5668499187245746e-12
121;1.9732642086765099e-13,0.9999999999204943,7.872017483950997e-11,6.060749619714837e-14,5.27760013151538e-13
122;0.07918183763364717,0.537688493093569,0.273728744177706,0.04165584119578789,0.06774508389928979
123;0.17579827436430207,0.5188622765569723,0.0024092956414699675,0.07140631667739383,0.2315238367598618
124;0.4566372442186239,0.1523195727506498,0.01629120712445938,0.13423963496779495,0.24051234093847196
125;0.000137048007267688,0.9025184199127075,0.09694906602743822,6.122528410874063e-05,0.00033424076847775926
126;0.34855762466312146,0.004937305736763638,3.3455741658387716e-05,0.4293135503513398,0.2171580635071167
127;0.2824318076706189,1.9493261206037655e-07,0.003950350566853448,0.5429027522393731,0.17071489459054262
128;4.1808111311280536e-05,0.9980495574146143,0.001817500710196349,1.9351375276246586e-05,7.178238860171679e-05
129;2.982254292843119e-14,0.9999999999998813,1.753623170028148e-14,6.536615963651852e-15,6.4760177356953e-14
130;2.91955177849227e-07,0.9999414257095822,5.757807421059581e-05,1.0465641234865943e-07,5.99604617016312e-07
131;0.1609359398130656,0.5671307431104625,1.684654788496871e-05,0.06924596056513248,0.20267050996345448
132;2.05048690623143e-06,0.999938965442595,5.191522101491965e-05,1.6320421520863307e-06,5.4368073316737315e-06
133;9.663261977798859e-06,0.9983744874396121,0.0015540158828559567,5.130257824831389e-06,5.670315772920825e-05
134;0.18455476514678484,0.03257161521917664,0.3386089968355515,0.23215744059607438,0.2121071822024125
135;1.5686662919231864e-27,1.0,6.7663459764676425e-28,7.760180505211319e-28,8.823778008553958e-27
136;5.555849977419526e-11,0.9999999996683313,2.0617787215177396e-10,2.0576573855562738e-11,4.935565192952651e-11
137;2.995943776023781e-07,0.999998529864633,4.4296368666991085e-08,1.9210269829384311e-07,9.341419223921158e-07
138;9.9492639318253e-16,0.9999999999996751,3.184736099321946e-13,5.281268019691996e-16,4.872528883860739e-15
139;0.0016286384137782885,0.9611354682859294,0.03177944273372287,0.0008064442510761624,0.004650006315493428
140;3.983425613430003e-17,0.9999999999999999,4.033003651686509e-20,1.3618411510523893e-17,1.4587411058244203e-16
141;1.3576124316722393e-05,0.763304812889088,0.23665169896475066,5.877437530087061e-06,2.4034584314678203e-05
142;7.2679054897116775e-12,0.9999999998751488,9.735960260821579e-11,3.578401612263132e-12,1.6645235570628026e-11
143;0.001766770514659937,0.6872857716498282,0.30793226829384285,0.0009491731895955401,0.0020660163520737035
144;8.389417838738913e-17,0.9999999999999789,2.063459842940623e-14,3.0625718315219674e-17,3.6687908767689533e-16
145;4.935031098874018e-09,0.9999993390389346,6.414635112392862e-07,2.033537640819441e-09,1.2528985410723766e-08
146;1.8947464426444135e-06,0.9977885027230259,0.002194695588391019,5.32404789450946e-07,1.4374537351011763e-05
147;0.025776140005692973,1.510004497168813e-07,0.9181185414801022,0.02129460916707679,0.03481055834667831
148;0.00994669798317987,0.9065974310711501,0.04906506132180086,0.004390837213978891,0.029999972409890288
149;1.8660996667393512e-12,0.9999999999901876,3.653104171066311e-12,6.360805727048147e-13,3.657162179063791e-12
150;0.2615757914670575,2.1999506026581796e-08,0.06337409493266713,0.31548687425759087,0.3595632173431785
151;2.468146322865455e-08,0.999999762236562,1.3883618767696687e-07,1.0273531788800937e-08,6.397225542786404e-08
152;2.0735125038908393e-05,0.9216840048913683,0.07824033178376558,8.50192460683039e-06,4.642627522040194e-05
